"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"CM_02","PUBLISHED","2004","WPR","CHN","360","360.00000","","",""
"CM_03","PUBLISHED","2005","WPR","CHN","232","232.00000","","",""
"CM_01","PUBLISHED","2012","WPR","CHN","233","233.00000","","",""
"CM_02","PUBLISHED","2013","WPR","CHN","185","185.00000","","",""
"CM_03","PUBLISHED","2015","WPR","CHN","94","94.00000","","",""
"CM_01","PUBLISHED","2015","WPR","CHN","183","183.00000","","",""
"MDG_0000000034","PUBLISHED","2009","WPR","CHN","… [31-67]","0.00000","31.00000","67.00000",""
"WHS9_93","PUBLISHED","2004","WPR","CHN","4330","4330.00000","","","Figure does not include Hong Kong nor Macao."
"WHS9_93","PUBLISHED","2011","WPR","CHN","9940","9940.00000","","","Figure does not include Hong Kong nor Macao."
"MALARIA001","PUBLISHED","2006","WPR","CHN","37","37.00000","","",""
"WHS3_45","PUBLISHED","2014","","CHN","830","830.00000","","",""
"MDG_0000000017","PUBLISHED","2008","WPR","CHN","4.5 [4.4-4.6]","4.50000","4.40000","4.60000",""
"MDG_0000000017","PUBLISHED","2004","WPR","CHN","6.2 [6.0-6.4]","6.20000","6.00000","6.40000",""
"MDG_0000000017","PUBLISHED","2002","WPR","CHN","7.3 [6.2-8.5]","7.30000","6.20000","8.50000",""
"TB_1","PUBLISHED","2006","WPR","CHN","81 [68-98]","81.00000","68.00000","98.00000",""
"TB_1","PUBLISHED","2013","WPR","CHN","87 [75-100]","87.00000","75.00000","100.00000",""
"MDG_0000000020","PUBLISHED","2009","WPR","CHN","83 [71-96]","83.00000","71.00000","96.00000",""
"MDG_0000000020","PUBLISHED","2003","WPR","CHN","98 [77-122]","98.00000","77.00000","122.00000",""
"MDG_0000000020","PUBLISHED","2002","WPR","CHN","102 [78-128]","102.00000","78.00000","128.00000",""
"MDG_0000000001","PUBLISHED","2002","WPR","CHN","26.2 [24.9-27.7]","26.20000","24.90000","27.70000",""
"MDG_0000000001","PUBLISHED","2009","WPR","CHN","14.6 [13.7-15.5]","14.60000","13.70000","15.50000",""
"WHOSIS_000003","PUBLISHED","2012","WPR","CHN","7.0 [6.4-7.7]","7.03982","6.36252","7.73725",""
"MDG_0000000007","PUBLISHED","2004","WPR","CHN","26.3 [24.8-28.0]","26.30000","24.80000","28.00000",""
"MDG_0000000007","PUBLISHED","2011","WPR","CHN","14.6 [13.7-15.5]","14.60000","13.70000","15.50000",""
"CM_03","PUBLISHED","2004","WPR","CHN","253","253.00000","","",""
"CM_01","PUBLISHED","2007","WPR","CHN","332","332.00000","","",""
"CM_03","PUBLISHED","2010","WPR","CHN","145","145.00000","","",""
"CM_02","PUBLISHED","2012","WPR","CHN","201","201.00000","","",""
